,Symbol,Scientific Name,Common Name
12297,PTTE,Pteryxia terebinthina (Hook.) J.M. Coult. & Rose,turpentine wavewing
12298,PTTET,Pteryxia terebinthina (Hook.) J.M. Coult. & Rose var. terebinthina,turpentine wavewing
12299,PTILA,Ptilagrostis,false needlegrass
12300,PTKI,Ptilagrostis kingii (Bol.) Barkworth,Sierra false needlegrass
12301,PTPO,Ptilagrostis porteri (Rydb.) W.A. Weber,Porter's false needlegrass
12302,PTCI,Ptilidium ciliare (L.) Hampe, 
12303,PTPU2,Ptilidium pulcherrimum (Weber) Vain., 
12304,PTCA,Ptilimnium capillaceum (Michx.) Raf.,herbwilliam
12305,PTNO,Ptilimnium nodosum (Rose) Mathias,piedmont mock bishopweed
12306,PTNU,Ptilimnium nuttallii (DC.) Britton,laceflower
12307,PTCR70,Ptilium crista-castrensis (Hedw.) De Not.,knights plume moss
12308,PUAN2,Puccinellia angustata (R. Br.) Rand & Redf.,narrow alkaligrass
12309,PUDI,Puccinellia distans (Jacq.) Parl.,weeping alkaligrass
12310,PUFA,Puccinellia fasciculata (Torr.) E.P. Bicknell,saltmarsh alkaligrass
12311,PUHO,Puccinellia howellii J.I. Davis,Howell's alkaligrass
12312,PULE,Puccinellia lemmonii (Vasey) Scribn.,Lemmon's alkaligrass
12313,PUMA,Puccinellia maritima (Huds.) Parl.,seaside alkaligrass
12314,PUNU,Puccinellia nutkaensis (J. Presl) Fernald & Weath.,Nootka alkaligrass
12315,PUNU2,Puccinellia nuttalliana (Schult.) Hitchc.,Nuttall's alkaligrass
12316,PUAI,Puccinellia airoides (Nutt.) S. Watson & J.M. Coult.,N/A
12317,PUPA,Puccinellia parishii Hitchc.,bog alkaligrass
12318,PUPU3,Puccinellia pumila (Vasey) Hitchc.,dwarf alkaligrass
12319,PURU,Puccinellia rupestris (With.) Fernald & Weath.,British alkaligrass
12320,PUSI,Puccinellia simplex Scribn.,California alkaligrass
12321,PUERA,Pueraria,kudzu
12322,PUMO,Pueraria montana (Lour.) Merr.,kudzu
12323,PUMOL,Pueraria montana (Lour.) Merr. var. lobata (Willd.) Maesen & S. Almeida,kudzu
12324,PULO,Dolichos lobatus Willd.,N/A
12325,PUPH2,Pueraria phaseoloides (Roxb.) Benth.,tropical kudzu
12326,PUOF,Pulmonaria officinalis L.,common lungwort
12327,PUOC,Pulsatilla occidentalis (S. Watson) Freyn,white pasqueflower
12328,ANOC6,Anemone occidentalis S. Watson,N/A
12329,PUPA5,Pulsatilla patens (L.) Mill.,eastern pasqueflower
12330,PUPAM,Pulsatilla patens (L.) Mill. ssp. multifida (Pritz.) Zamels,cutleaf anemone
12331,PULU,"Anemone ludoviciana Nutt., nom. illeg.",N/A
12332,PUVU,Pulsatilla vulgaris Mill.,European pasqueflower
12333,PUGR2,Punica granatum L.,pomegranate
12334,PURSH,Purshia,bitterbrush
12335,PUGL2,Purshia glandulosa Curran,desert bitterbrush
12336,PUME,Purshia mexicana (D. Don) Henrickson,Mexican cliffrose
12337,COME5,Cowania mexicana D. Don,N/A
12338,PUST,Purshia stansburiana (Torr.) Henrickson,Stansbury cliffrose
12339,COMES,Cowania alba Goodding,N/A
12340,COST10,Cowania alba Goodding,N/A
12341,PUTR2,Purshia tridentata (Pursh) DC.,antelope bitterbrush
12342,PYAL,Pycnanthemum albescens Torr. & A. Gray,whiteleaf mountainmint
12343,KOAL4,Koellia albescens (Torr. & A. Gray) Kuntze,N/A
12344,PYCL,Pycnanthemum clinopodioides Torr. & A. Gray,basil mountainmint
12345,PYFL,"Pycnanthemum flexuosum (Walter) Britton, Sterns & Poggenb.",Appalachian mountainmint
12346,KOHY2,Koellia hugeri Small,N/A
12347,PYIN,Pycnanthemum incanum (L.) Michx.,hoary mountainmint
12348,PYINI,Pycnanthemum incanum (L.) Michx. var. incanum,hoary mountainmint
12349,KOIN,Clinopodium incanum L.,N/A
12350,PYMO2,Pycnanthemum montanum Michx.,thinleaf mountainmint
12351,KOMO,Koellia montana (Michx.) Kuntze,N/A
12352,PYMU,Pycnanthemum muticum (Michx.) Pers.,clustered mountainmint
12353,KOMU2,Koellia mutica (Michx.) Kuntze,N/A
12354,PYPY,Pycnanthemum pycnanthemoides (Leavenworth) Fernald,southern mountainmint
12355,PYPYP,Pycnanthemum pycnanthemoides (Leavenworth) Fernald var. pycnanthemoides,southern mountainmint
12356,PYSE2,Pycnanthemum setosum Nutt.,awned mountainmint
12357,PYTE,Pycnanthemum tenuifolium Schrad.,narrowleaf mountainmint
12358,KOFL,Koellia flexuosa auct. non (Walter) MacMill.,N/A
12359,PYVEP,Pycnanthemum verticillatum (Michx.) Pers. var. pilosum (Nutt.) Cooperr.,whorled mountainmint
12360,PYVEV,Pycnanthemum verticillatum (Michx.) Pers. var. verticillatum,whorled mountainmint
12361,PYVI,Pycnanthemum virginianum (L.) T. Dur. & B.D. Jacks. ex B.L. Rob. & Fernald,Virginia mountainmint
12362,PYPO3,Pylaisiella polyantha (Hedw.) Grout,pylaisiella moss
12363,PYRAC,Pyracantha,firethorn
12364,PYCO2,Pyracantha coccinea M. Roem.,scarlet firethorn
12365,COPY3,Cotoneaster pyracantha (L.) Spach,N/A
12366,PYKO,Pyracantha koidzumii (Hayata) Rehder,Formosa firethorn
12367,PYTE5,Pyramidula tetragona (Brid.) Brid.,pyramid moss
12368,PYAM,Pyrola americana Sweet,American wintergreen
12369,PYRO,Pyrola asarifolia Michx. ssp. americana (Sweet) Krísa,N/A
12370,PYAS,Pyrola asarifolia Michx.,liverleaf wintergreen
12371,PYASA,Pyrola asarifolia Michx. ssp. asarifolia,liverleaf wintergreen
12372,PYUL,Pyrola asarifolia Michx. var. incarnata (DC.) Fernald,N/A
12373,PYASB2,Pyrola asarifolia Michx. ssp. bracteata (Hook.) Haber,pink wintergreen
12374,PYCH,Pyrola chlorantha Sw.,greenflowered wintergreen
12375,PYOX,Pyrola chlorantha Sw. var. convoluta (W. Bartram) Fernald,N/A
12376,PYEL,Pyrola elliptica Nutt.,waxflower shinleaf
12377,PYGR,Pyrola grandiflora Radius,largeflowered wintergreen
12378,PYMI,Pyrola minor L.,snowline wintergreen
12379,PYPI2,Pyrola picta Sm.,whiteveined wintergreen
12380,PYPID,Pyrola aphylla Sm.,N/A
12381,PYVE2,Pyrostegia venusta (Ker Gawl.) Miers,flamevine
12382,PYIG2,Bignonia venusta Ker Gawl.,N/A
12383,PYCA2,Pyrrhopappus carolinianus (Walter) DC.,Carolina desert-chicory
12384,SICA10,Pyrrhopappus carolinianus (Walter) DC. var. georgianus (Shinners) H.E. Ahles,N/A
12385,PYGR2,Pyrrhopappus grandiflorus (Nutt.) Nutt.,tuberous desert-chicory
12386,PYSC,Pyrrhopappus scaposus DC.,N/A
12387,PYPA4,Pyrrhopappus pauciflorus (D. Don) DC.,smallflower desert-chicory
12388,PYMU2,Pyrrhopappus geiseri Shinners,N/A
12389,PYAP2,Pyrrocoma apargioides (A. Gray) Greene,alpineflames
12390,PYCR2,Pyrrocoma crocea (A. Gray) Greene,curlyhead goldenweed
12391,PYLA,Pyrrocoma lanceolata (Hook.) Greene,lanceleaf goldenweed
12392,PYLAL,Pyrrocoma lanceolata (Hook.) Greene var. lanceolata,lanceleaf goldenweed
12393,PYPU,Pyrularia pubera Michx.,buffalo nut
12394,PYRUS,Pyrus,pear
12395,PYCA80,Pyrus calleryana Decne.,Callery pear
12396,PYCO,Pyrus communis L.,common pear
12397,PYUS2,Pyrus ussuriensis Maxim.,Chinese pear
